,datetime,year,month,day,hour,minutes,temp,hum,rain
0,"{u'mday': u'05', u'hour': u'00', u'min': u'00', u'mon': u'08', u'pretty': u'12:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,0,0,22.0,46,0
1,"{u'mday': u'05', u'hour': u'00', u'min': u'30', u'mon': u'08', u'pretty': u'12:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,0,30,20.0,52,0
2,"{u'mday': u'05', u'hour': u'01', u'min': u'00', u'mon': u'08', u'pretty': u'1:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,1,0,18.0,64,0
3,"{u'mday': u'05', u'hour': u'01', u'min': u'30', u'mon': u'08', u'pretty': u'1:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,1,30,18.0,64,0
4,"{u'mday': u'05', u'hour': u'02', u'min': u'00', u'mon': u'08', u'pretty': u'2:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,2,0,17.0,68,0
5,"{u'mday': u'05', u'hour': u'02', u'min': u'30', u'mon': u'08', u'pretty': u'2:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,2,30,17.0,68,0
6,"{u'mday': u'05', u'hour': u'03', u'min': u'00', u'mon': u'08', u'pretty': u'3:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,3,0,17.0,68,0
7,"{u'mday': u'05', u'hour': u'03', u'min': u'30', u'mon': u'08', u'pretty': u'3:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,3,30,17.0,68,0
8,"{u'mday': u'05', u'hour': u'04', u'min': u'00', u'mon': u'08', u'pretty': u'4:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,4,0,17.0,68,0
9,"{u'mday': u'05', u'hour': u'04', u'min': u'30', u'mon': u'08', u'pretty': u'4:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,4,30,17.0,63,0
10,"{u'mday': u'05', u'hour': u'05', u'min': u'00', u'mon': u'08', u'pretty': u'5:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,5,0,16.0,72,0
11,"{u'mday': u'05', u'hour': u'05', u'min': u'30', u'mon': u'08', u'pretty': u'5:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,5,30,16.0,72,0
12,"{u'mday': u'05', u'hour': u'06', u'min': u'00', u'mon': u'08', u'pretty': u'6:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,6,0,16.0,68,0
13,"{u'mday': u'05', u'hour': u'06', u'min': u'30', u'mon': u'08', u'pretty': u'6:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,6,30,16.0,72,0
14,"{u'mday': u'05', u'hour': u'07', u'min': u'00', u'mon': u'08', u'pretty': u'7:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,7,0,16.0,72,0
15,"{u'mday': u'05', u'hour': u'07', u'min': u'30', u'mon': u'08', u'pretty': u'7:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,7,30,16.0,72,0
