,conds,date,dewpti,dewptm,fog,hail,heatindexi,heatindexm,hum,icon,metar,precipi,precipm,pressurei,pressurem,rain,snow,tempi,tempm,thunder,tornado,utcdate,visi,vism,wdird,wdire,wgusti,wgustm,windchilli,windchillm,wspdi,wspdm
0,Unknown,"{u'mday': u'05', u'hour': u'00', u'min': u'00', u'mon': u'08', u'pretty': u'12:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",50.0,10.0,0,0,-9999,-9999,46,unknown,METAR LFPB 042200Z AUTO 12007KT 9999NDV NSC 22/10 Q1018,-9999.00,-9999.00,30.06,1018,0,0,71.6,22.0,0,0,"{u'mday': u'04', u'hour': u'22', u'min': u'00', u'mon': u'08', u'pretty': u'10:00 PM GMT on August 04, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,120,ESE,-9999.0,-9999.0,-999,-999,8.1,13.0
1,Unknown,"{u'mday': u'05', u'hour': u'00', u'min': u'30', u'mon': u'08', u'pretty': u'12:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",50.0,10.0,0,0,-9999,-9999,52,unknown,METAR LFPB 042230Z AUTO 09003KT 060V130 9999NDV NSC 20/10 Q1019,-9999.00,-9999.00,30.09,1019,0,0,68.0,20.0,0,0,"{u'mday': u'04', u'hour': u'22', u'min': u'30', u'mon': u'08', u'pretty': u'10:30 PM GMT on August 04, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,90,East,-9999.0,-9999.0,-999,-999,3.5,5.6
2,Unknown,"{u'mday': u'05', u'hour': u'01', u'min': u'00', u'mon': u'08', u'pretty': u'1:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",51.8,11.0,0,0,-9999,-9999,64,unknown,METAR LFPB 042300Z AUTO 06005KT 9999NDV NSC 18/11 Q1019,-9999.00,-9999.00,30.09,1019,0,0,64.4,18.0,0,0,"{u'mday': u'04', u'hour': u'23', u'min': u'00', u'mon': u'08', u'pretty': u'11:00 PM GMT on August 04, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,60,ENE,-9999.0,-9999.0,-999,-999,5.8,9.3
3,Unknown,"{u'mday': u'05', u'hour': u'01', u'min': u'30', u'mon': u'08', u'pretty': u'1:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",51.8,11.0,0,0,-9999,-9999,64,unknown,METAR LFPB 042330Z AUTO 06004KT 9999NDV NSC 18/11 Q1019,-9999.00,-9999.00,30.09,1019,0,0,64.4,18.0,0,0,"{u'mday': u'04', u'hour': u'23', u'min': u'30', u'mon': u'08', u'pretty': u'11:30 PM GMT on August 04, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,60,ENE,-9999.0,-9999.0,-999,-999,4.6,7.4
4,Unknown,"{u'mday': u'05', u'hour': u'02', u'min': u'00', u'mon': u'08', u'pretty': u'2:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",51.8,11.0,0,0,-9999,-9999,68,unknown,METAR LFPB 050000Z AUTO 06005KT 9999NDV NSC 17/11 Q1018,-9999.00,-9999.00,30.06,1018,0,0,62.6,17.0,0,0,"{u'mday': u'05', u'hour': u'00', u'min': u'00', u'mon': u'08', u'pretty': u'12:00 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,60,ENE,-9999.0,-9999.0,-999,-999,5.8,9.3
5,Unknown,"{u'mday': u'05', u'hour': u'02', u'min': u'30', u'mon': u'08', u'pretty': u'2:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",51.8,11.0,0,0,-9999,-9999,68,unknown,METAR LFPB 050030Z AUTO 02003KT 9999NDV NSC 17/11 Q1019,-9999.00,-9999.00,30.09,1019,0,0,62.6,17.0,0,0,"{u'mday': u'05', u'hour': u'00', u'min': u'30', u'mon': u'08', u'pretty': u'12:30 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,20,NNE,-9999.0,-9999.0,-999,-999,3.5,5.6
6,Unknown,"{u'mday': u'05', u'hour': u'03', u'min': u'00', u'mon': u'08', u'pretty': u'3:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",51.8,11.0,0,0,-9999,-9999,68,unknown,METAR LFPB 050100Z AUTO 36004KT 9999NDV NSC 17/11 Q1018,-9999.00,-9999.00,30.06,1018,0,0,62.6,17.0,0,0,"{u'mday': u'05', u'hour': u'01', u'min': u'00', u'mon': u'08', u'pretty': u'1:00 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,360,North,-9999.0,-9999.0,-999,-999,4.6,7.4
7,Unknown,"{u'mday': u'05', u'hour': u'03', u'min': u'30', u'mon': u'08', u'pretty': u'3:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",51.8,11.0,0,0,-9999,-9999,68,unknown,METAR LFPB 050130Z AUTO 05006KT 9999NDV NSC 17/11 Q1018,-9999.00,-9999.00,30.06,1018,0,0,62.6,17.0,0,0,"{u'mday': u'05', u'hour': u'01', u'min': u'30', u'mon': u'08', u'pretty': u'1:30 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,50,NE,-9999.0,-9999.0,-999,-999,6.9,11.1
8,Unknown,"{u'mday': u'05', u'hour': u'04', u'min': u'00', u'mon': u'08', u'pretty': u'4:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",51.8,11.0,0,0,-9999,-9999,68,unknown,METAR LFPB 050200Z AUTO 04003KT 9999NDV NSC 17/11 Q1018,-9999.00,-9999.00,30.06,1018,0,0,62.6,17.0,0,0,"{u'mday': u'05', u'hour': u'02', u'min': u'00', u'mon': u'08', u'pretty': u'2:00 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,40,NE,-9999.0,-9999.0,-999,-999,3.5,5.6
9,Unknown,"{u'mday': u'05', u'hour': u'04', u'min': u'30', u'mon': u'08', u'pretty': u'4:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",50.0,10.0,0,0,-9999,-9999,63,unknown,METAR LFPB 050230Z AUTO 04004KT 9999NDV NSC 17/10 Q1018,-9999.00,-9999.00,30.06,1018,0,0,62.6,17.0,0,0,"{u'mday': u'05', u'hour': u'02', u'min': u'30', u'mon': u'08', u'pretty': u'2:30 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,40,NE,-9999.0,-9999.0,-999,-999,4.6,7.4
